date,state,district,female,male,deaths
2018-12-01,Maharashtra,Parbhani,139,306,445
2018-12-01,Maharashtra,Jalna,135,281,416
2018-12-01,Maharashtra,Aurangabad,298,522,820
2018-12-01,Maharashtra,Nashik,899,1302,2201
2018-12-01,Maharashtra,Thane,1282,1962,3244
2018-12-01,Maharashtra,Mumbai Suburban,1827,2378,4205
2018-12-01,Maharashtra,Mumbai,1396,1961,3357
2018-12-01,Maharashtra,Raigarh,162,200,362
2018-12-01,Maharashtra,Pune,620,998,1618
2018-12-01,Maharashtra,Ahmednagar,510,751,1261
2018-12-01,Maharashtra,Beed,170,337,507
2018-12-01,Maharashtra,Latur,266,498,764
2018-12-01,Maharashtra,Osmanabad,89,173,262
2018-12-01,Maharashtra,Solapur,435,705,1140
2018-12-01,Maharashtra,Satara,625,890,1515
2018-12-01,Maharashtra,Ratnagiri,157,205,362
2018-12-01,Maharashtra,Sindhudurg,175,257,432
2018-12-01,Maharashtra,Kolhapur,346,505,851
2018-12-01,Maharashtra,Sangli,134,232,366
2018-12-01,Maharashtra,Palghar,280,405,685
2019-01-01,Maharashtra,Nandurbar,295,432,727
2019-01-01,Maharashtra,Dhule,351,551,902
2019-01-01,Maharashtra,Jalgaon,403,637,1040
2019-01-01,Maharashtra,Buldana,178,261,439
2019-01-01,Maharashtra,Akola,359,562,921
2019-01-01,Maharashtra,Washim,76,127,203
2019-01-01,Maharashtra,Amravati,655,1074,1729
2019-01-01,Maharashtra,Wardha,298,411,709
2019-01-01,Maharashtra,Nagpur,1412,2040,3452
2019-01-01,Maharashtra,Bhandara,218,283,501
2019-01-01,Maharashtra,Gondiya,125,153,278
2019-01-01,Maharashtra,Gadchiroli,158,181,339
2019-01-01,Maharashtra,Chandrapur,334,444,778
2019-01-01,Maharashtra,Yavatmal,207,336,543
2019-01-01,Maharashtra,Nanded,375,619,994
2019-01-01,Maharashtra,Hingoli,63,103,166
2019-01-01,Maharashtra,Parbhani,179,312,491
2019-01-01,Maharashtra,Jalna,153,248,401
2019-01-01,Maharashtra,Aurangabad,325,596,921
2019-01-01,Maharashtra,Nashik,1035,1414,2449
2019-01-01,Maharashtra,Thane,1560,2129,3689
2019-01-01,Maharashtra,Mumbai Suburban,2204,2667,4871
2019-01-01,Maharashtra,Mumbai,1520,2261,3781
2019-01-01,Maharashtra,Raigarh,177,242,419
2019-01-01,Maharashtra,Pune,661,1119,1780
2019-01-01,Maharashtra,Ahmednagar,568,785,1353
2019-01-01,Maharashtra,Beed,192,309,501
2019-01-01,Maharashtra,Latur,281,508,789
2019-01-01,Maharashtra,Osmanabad,114,175,289
2019-01-01,Maharashtra,Solapur,468,814,1282
2019-01-01,Maharashtra,Satara,667,862,1529
2019-01-01,Maharashtra,Ratnagiri,167,205,372
2019-01-01,Maharashtra,Sindhudurg,187,264,451
2019-01-01,Maharashtra,Kolhapur,408,531,939
2019-01-01,Maharashtra,Sangli,152,201,353
2019-01-01,Maharashtra,Palghar,313,398,711
2019-02-01,Maharashtra,Nandurbar,225,335,560
2019-02-01,Maharashtra,Dhule,280,509,789
2019-02-01,Maharashtra,Jalgaon,341,501,842
2019-02-01,Maharashtra,Buldana,139,218,357
2019-02-01,Maharashtra,Akola,272,430,702
2019-02-01,Maharashtra,Washim,69,95,164
2019-02-01,Maharashtra,Amravati,536,832,1368
2019-02-01,Maharashtra,Wardha,232,342,574
2019-02-01,Maharashtra,Nagpur,1143,1670,2813
2019-02-01,Maharashtra,Bhandara,172,195,367
2019-02-01,Maharashtra,Gondiya,85,120,205
2019-02-01,Maharashtra,Gadchiroli,91,137,228
2019-02-01,Maharashtra,Chandrapur,233,363,596
2019-02-01,Maharashtra,Yavatmal,192,295,487
2019-02-01,Maharashtra,Nanded,310,537,847
2019-02-01,Maharashtra,Hingoli,41,69,110
2019-02-01,Maharashtra,Parbhani,149,257,406
2019-02-01,Maharashtra,Jalna,125,255,380
2019-02-01,Maharashtra,Aurangabad,280,485,765
2019-02-01,Maharashtra,Nashik,874,1251,2125
2019-02-01,Maharashtra,Thane,1352,1844,3196
2019-02-01,Maharashtra,Mumbai Suburban,1787,2269,4056
2019-02-01,Maharashtra,Mumbai,1348,1945,3293
2019-02-01,Maharashtra,Raigarh,163,226,389
2019-02-01,Maharashtra,Pune,575,908,1483
2019-02-01,Maharashtra,Ahmednagar,448,644,1092
2019-02-01,Maharashtra,Beed,140,271,411
2019-02-01,Maharashtra,Latur,231,435,666
2019-02-01,Maharashtra,Osmanabad,95,143,238
2019-02-01,Maharashtra,Solapur,419,654,1073
2019-02-01,Maharashtra,Satara,537,631,1168
2019-02-01,Maharashtra,Ratnagiri,125,195,320
2019-02-01,Maharashtra,Sindhudurg,190,195,385
2019-02-01,Maharashtra,Kolhapur,299,428,727
2019-02-01,Maharashtra,Sangli,116,144,260
2019-02-01,Maharashtra,Palghar,299,398,697
2019-03-01,Maharashtra,Nandurbar,252,406,658
2019-03-01,Maharashtra,Dhule,285,461,746
2019-03-01,Maharashtra,Jalgaon,336,541,877
2019-03-01,Maharashtra,Buldana,118,268,386
2019-03-01,Maharashtra,Akola,308,418,726
2019-03-01,Maharashtra,Washim,70,127,197
2019-03-01,Maharashtra,Amravati,477,767,1244
2019-03-01,Maharashtra,Wardha,194,358,552
2019-03-01,Maharashtra,Nagpur,1102,1595,2697
2019-03-01,Maharashtra,Bhandara,162,200,362
2019-03-01,Maharashtra,Gondiya,67,131,198
2019-03-01,Maharashtra,Gadchiroli,85,147,232
2019-03-01,Maharashtra,Chandrapur,232,303,535
2019-03-01,Maharashtra,Yavatmal,176,291,467
2019-03-01,Maharashtra,Nanded,285,456,741
2019-03-01,Maharashtra,Hingoli,51,97,148
2019-03-01,Maharashtra,Parbhani,153,247,400
2019-03-01,Maharashtra,Jalna,123,236,359
2019-03-01,Maharashtra,Aurangabad,274,579,853
